course_name,grading
CHEM-425,GRD
ENVR-490,GRD
THEA-290,GRD
NURS-401,GRD
ART-362,GRD
PSYC-486,P/F
HLSC-498,GRD
COMM-395,GRD
ENGR-395,GRD
ART-366,GRD
ART-367,GRD
PHIL-499,P/F
IDIS-205,P/F
ODEL-290,GRD
ODEL-490,GRD
ODEL-491,GRD
BIOL-291,GRD
BIOL-390,GRD
BIOL-391,GRD
BIOL-491,GRD
URPL-450,GRD
BIOL-218,GRD
GERM-300,GRD
SOWK-399,GRD
COSC-290,GRD
HLSC-475,GRD
URPL-470,P/F
URPL-480,P/F
MDCC-101,GRD
COMM-290,GRD
IHHS-290,GRD
IHHS-490,GRD
