course_name
ART-422
ATTR-479
BIOL-450
BUAD-101
COMM-125
COSC-495
ECED-455
ECED-456
PHED-470
PHED-471
EDUC-462
EDUC-463
EDUC-490
ELED-421
ELED-422
ELED-430
EXSC-479
GENL-101
GEOG-460
HLSC-102
HONR-312
HONR-490
LEIS-450
MATH-495
MUSA-391
MUSC-422
PHEC-103
PHEC-105
FTWL-107
PHEC-121
PHEC-123
PHEC-125
PHEC-126
PHEC-146
PHEC-147
PHEC-150
PHEC-170
PHYS-450
POSC-340
PSYC-485
SCED-430
SCED-431
SCED-456
THEA-125
THEA-422
MATH-495G
PHED-421
PHED-480
SCED-462
SCED-463
BUAD-200
HONR-496
AFSC-150
AFSC-450
ELED-423
PSYC-486
PHIL-499
IDIS-205
PACE-150
PACE-155
PACE-205
URPL-460
URPL-470
URPL-480
MUTH-120
MUTH-121
